spid,rid,iconType,squarePhoto,rectanglePhoto,flowerBloom1,flowerBloom2,flowerBloom3,flowerBloom4,flowerBloom5,flowerBloom6,flowerBloom7,flowerBloom8,flowerBloom9,flowerBloom10,flowerBloom11,flowerBloom12,recordPlant
Alpi15,45,3,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150514_月桃_1.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150514_月桃.jpg,1,1,1,3,4,4,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=45&SPID=Alpi15
Alpi17,531,3,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150506_20110130_屯鹿.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150506_20110130.jpg,1,1,1,2,3,4,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=531&SPID=Alpi17
Alpi19,502,3,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150401_20110035_屈尺.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150401_20110035.jpg,1,1,2,3,4,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=502&SPID=Alpi19
Alpi33,594,3,http://bgip.tfri.gov.tw/tpbg2012/upload/file/GR2Q5915.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/高良薑.jpg,1,1,1,2,4,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=594&SPID=Alpi33
Barr2,90,2,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150804_20063054_1.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150915_0_0.jpg,1,1,1,1,1,2,4,4,4,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=90&SPID=Barr2
Bauh2,269,1,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20141124_20062372_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20141124_20062372_1.jpg,1,1,1,1,1,1,1,1,2,4,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=269&SPID=Bauh2
Bauh4,593,1,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150327_20062051_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150330_20062051_1.jpg,1,1,3,4,1,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=593&SPID=Bauh4
Bela1,497,6,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150727_20100262_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150603_0_0.jpg,1,1,1,1,3,4,4,4,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=497&SPID=Bela1
Bras1,1047,6,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20141215_0_1.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20141215_0_2.jpg,1,1,1,1,1,1,1,1,1,1,2,4,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=1047&SPID=Bras1
Call13,664,2,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150825_20063553_1.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/GR2Q7216.JPG,1,1,1,1,1,1,1,2,4,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=664&SPID=Call13
